coder,response_uuid,child_hashed_id,child__age_rounded,child__gender,frame_id,visualShown,audioPlayed,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,trial_notes
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,hi,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,HI [waves at screen],n,n,NA,NA,NA,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,car,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points at screen] CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,gibberish,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,gibberish,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,nothing,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,BABY; BABA [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,bear,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,apple,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,APPLE X3,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,510,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,byebye dog,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,BYE BYE DOG,n,n,n,n,y,n,y,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,meow,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,MEOW MEOW,y,y,NA,NA,NA,y,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,600,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,bus,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,BUS [points at screen]; BUS,y,y,NA,NA,NA,y,n,y,,
