,"session_id","family_id","child_id","age_in_days","gender","response_date_created","response_completed","response_withdrawn","response_eligibility","parent_feedback","birthdate_difference","video_privacy","response_databrary","response_is_preview","language_list","condition_list","additional_information","session_order","to_code","exclusion_reason","coder","is_coded","notes"
"1","a5591a59-3822-4fc3-acc3-1d4056e7ddf3","F52FB2","G3c7F7",510,"f","2024-01-12 14:28:25","TRUE","FALSE","Eligible","NA",0,"private","no","FALSE","en","NA","Nope",,"n","pilot data",,,
"2","7a8a00aa-822c-48f1-a2d3-bd7c2eac73a8","LdDBBF","E4HXVT",510,"f","2024-01-12 23:09:55","TRUE","FALSE","Eligible","NA",0,"public","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"3","3e7ce3a4-5a20-4345-b688-e56d9b9fb6dc","4K4AJJ","NEWCPW",600,"f","2024-01-12 23:15:50","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"4","5cdbce90-582c-4c19-92a5-c42313dbcb3b","LABFcG","XFJ2U2",840,"f","2024-01-13 13:12:07","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"5","08dd07b8-11c7-4a0a-a75c-7acd300e3fd5","Y5GVS4","RBBZVA",540,"f","2024-01-13 20:51:38","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"6","94818102-15a0-402e-99bf-18ab76498b56","KYLJVL","VETSGF",600,"m","2024-01-13 21:49:15","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en pl es","NA","NA",,"n","pilot data",,,
"7","fc0a1fca-a72b-400f-8869-38cb83ecc419","5AP5SE","VHMBLF",720,"m","2024-01-14 00:03:31","TRUE","FALSE","Eligible","I tried to remember exactly what he said but it's tricky- it would be nice if I could re-watch the videos at the end to make sure I remember everything.",0,"scientific","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"8","34f56681-8892-40b5-86c5-81df7e6489ad","KJCQD3","MLLSRA",660,"f","2024-01-14 02:37:02","TRUE","FALSE","Eligible","It wasn't clear if I should type what they said DURING the video, or only after the video. It would be nice to have a counter of the number of videos (1/5, 2/5, etc.) to keep track of focus.",-5,"private","no","FALSE","en es","NA","NA",,"n","pilot data",,,
"9","36586705-b90e-4e6c-83fa-11a0af014f6e","FSd7N7","CBZPWc",780,"m","2024-01-14 13:55:16","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"10","2d57f199-ce86-4d5b-b908-d65b866199a9","CUEVc5","Q2EF5J",780,"f","2024-01-14 18:22:39","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en es","NA","Also exposed to Norwegian language",,"n","pilot data",,,
"11","9b5175a2-9a91-4f44-8de8-783ea949173d","2CCW45","cKKLXT",690,"f","2024-01-14 18:32:55","TRUE","FALSE","Eligible","NA",0,"private","no","FALSE","en","NA","NA",,"n","pilot data",,,
"12","5ca23ff3-3d71-4228-8c52-8732fdfe84c1","FYFNYY","TLCZGB",660,"m","2024-01-14 21:11:22","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en","NA","NA",,"n","pilot data",,,
"13","33037474-6026-4413-818a-6a8b53897cd6","3cMR2R","S35WD7",690,"f","2024-01-19 21:57:16","TRUE","FALSE","Eligible","He thought he was supposed to cover his eyes every time I covered my eyes. I don't think he understood or maybe remembered what happened after the curtain closed. When I said I didn't see it, he would just say ""Open it""",0,"scientific","yes","FALSE","en","NA","He is on track developmentally with no pregnancy nor birth complications.",,,,,,
"14","c7a7402d-f164-4d40-af62-db8848c0249c","E3YLAH","KDTW5T",480,"m","2024-01-20 14:15:27","TRUE","FALSE","Eligible","NA",0,"private","no","FALSE","en","NA","NA",,,,,,
"15","c04b08ef-3c69-4acb-860d-834820013675","K23WGT","CC5KWU",480,"f","2024-01-20 14:51:21","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en id ko","NA","NA",,,,,,
"16","a28ac98d-e0f2-4719-9ccd-c33eafbe3d7a","QMNFN7","LRDUM2",540,"m","2024-01-21 14:53:48","FALSE","FALSE","Eligible","NA","NA","NA","NA","FALSE","en es","NA","NA",,"n","did not do test trials",,,
"17","77153d2c-4b52-463b-be1f-465d6d99aaa6","QMNFN7","LRDUM2",540,"m","2024-01-21 14:57:15","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en es","NA","NA",,,,,,
"18","0a5eac09-0d24-4f1f-8bfe-3bdead4bd315","L4NQPR","5N2KZ3",720,"m","2024-01-21 16:37:43","TRUE","FALSE","Eligible","NA",0,"private","no","FALSE","en","NA","NA",,,,,,
"19","a461370e-2f7c-475e-9ba2-e70ad2389566","d5SXS5","S4VHG4",480,"f","2024-01-21 23:36:49","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en","NA","NA",,,,,,
"20","601591e2-edc7-4c8d-ab5b-6b9826db0591","RBDdJA","WdQVGc",450,"m","2024-01-22 00:14:44","FALSE","FALSE","Eligible","NA","NA","NA","NA","FALSE","en he cmn es yue","NA","NA",,"n","did not do test trials",,,
"21","098ebcf3-bc05-4d7d-baa0-f6cb2180bb0e","475GVM","ARKTVA",450,"m","2024-01-22 17:25:36","TRUE","FALSE","Eligible","NA",0,"scientific","no","FALSE","en","NA","NA",,,,,,
"22","0a54916c-eaaa-4e22-ac23-d3171494e32b","VNDF3d","W6NUB3",450,"m","2024-01-22 18:12:25","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en","NA","NA",,,,,,
"23","4149b6c9-a6a5-49c2-9b63-c381ffb295af","GN7ZFW","TXBZXQ",690,"f","2024-01-22 19:07:05","FALSE","FALSE","Eligible","NA","NA","NA","NA","FALSE","en ja","NA","NA",,"n","did not do test trials",,,
"24","ee5f40f8-dc84-4a9a-9176-275d5ba05de3 ","GN7ZFW","TXBZXQ",690,"f","2024-01-22 21:25:58","TRUE","FALSE","Eligible","Instructions for parents were a bit confusing because the initial instructions said we would need to cover our eyes/ears, but then the first few videos didn't tell us to cover our eyes/ears, so I wasn't sure when I was supposed to do it.  Baby was eating a snack at the beginning, which caused her to be a bit distracted.  The red curtains at the end of the video seemed to be distracting for the baby when I was asking her to describe the video.  A black screen would be better.",0,"scientific","yes","FALSE","en ja","NA","NA",,,,,,
"25","6e14be08-7c6c-46c4-aab7-d33e4a1a29b8","TUGAVD","NPNQMV",660,"f","2024-01-23 01:56:10","TRUE","FALSE","Eligible","good! except for sibling entering",0,"private","no","FALSE","en uk","NA","NA",,,,,,
"26","69263699-e904-413f-aaba-2d917e65519c","FLTCLF","ZUVJ6F",600,"m","2024-01-23 11:18:37","TRUE","FALSE","Eligible","Went pretty well except that my internet connection (or computer) were slow so the video upload took a while and Pascal went to go play between videos!",0,"scientific","yes","FALSE","en fr","NA","NA",,,,,,
"27","010130f1-7660-4825-a327-36854141c328","F3McX5","cSWdcH",510,"f","2024-01-23 14:20:04","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en","NA","NA",,,,,,
"28","596ad346-aca4-4298-bc14-e87626c9e15d","TP5dVY","JFYCYF",510,"f","2024-01-23 16:54:19","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en","NA","NA",,,,,,
"29","12ff8f08-1d99-4623-bc06-42d2bd1793a6","K65UKQ","3TVWGJ",480,"m","2024-01-23 21:01:36","TRUE","FALSE","Eligible","He was fussy in the middle so it was hard to get him engaged",0,"scientific","yes","FALSE","en","NA","NA",,,,,,
"30","4c06f484-fa39-4cd0-94e1-d4d6c377c661","6BMY3G","SCF4EB",660,"f","2024-01-23 21:48:03","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en ml","NA","NA",,,,,,
"31","27b42e9e-5e3f-4ce4-b4ea-95e6455f6214","7QSA5S","CBScHD",600,"f","2024-01-23 22:09:21","FALSE","FALSE","Eligible","NA","NA","NA","NA","FALSE","en","NA","NA",,,,,,
"32","e5acd156-2f20-441a-8be8-90ece69f5e43","7QSA5S","CBScHD",600,"f","2024-01-23 22:33:55","FALSE","FALSE","Eligible","NA","NA","NA","NA","FALSE","en","NA","NA",,"n","this is an extra session of a child and I can’t be sure that they didn’t already see the same stimuli that they saw in an earlier session ",,,
"33","e51c7499-eeb6-4ab2-b339-51490fe3e151","YPAWWc","UZDJXC",480,"f","2024-01-23 23:53:59","FALSE","FALSE","Eligible","NA","NA","NA","NA","FALSE","en","NA","NA",,,,,,
"34","ed7e915d-4e82-49a2-a796-dd338ba10c1b","S6M6WN","5E6MP4",660,"m","2024-01-24 13:46:11","TRUE","FALSE","Eligible","Never was a camera setup",0,"private","no","FALSE","en","NA","NA",,,,,,
"35","61c12207-8723-4fdc-bb70-e674b42d4c3d","QJXG5d","ZMPBLU",630,"m","2024-01-24 18:14:05","TRUE","FALSE","Eligible","Great interaction which kept him engaged",0,"scientific","yes","FALSE","en","NA","Mason is exposed to English at home. He had a French speaking nanny from 3.5 months to 6 months and a Hungarian speaking nanny from 6-8 months. 



He takes Mandarin for 1 hour on Fridays. We will soon be hiring a Spanish speaking babysitter to speak 3 hours of Spanish to him a week. 



So while we speak English, there is a dabble of other language exposure.",,,,,,
"36","5a10ff62-d459-4a42-b91e-f1c96d96b96c","SYcWD7","FKXLLE",630,"f","2024-01-24 18:26:12","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en","NA","NA",,,,,,
"37","d055d008-c883-4afb-9181-34867c245583","J6RCLG","cDJRBR",720,"m","2024-01-24 22:13:13","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en","NA","NA",,,,,,
"38","a25b517c-42c5-4993-991b-7a627478573c","67M6NS","ZUGXR6",600,"m","2024-01-24 22:31:22","TRUE","FALSE","Eligible","NA",0,"private","yes","FALSE","en es","NA","NA",,,,,,
"39","0813addf-35ee-4108-93e6-b35bd2d46c6e","6T6HSK","B2JDAG",600,"m","2024-01-25 14:35:08","TRUE","FALSE","Eligible","Set-up webcam before videos start playing. The button on the screen (when instructions were shown and video explaining instructions played) said that the next screen would be webcam setup, so we weren't ready when the practice videos started.",0,"scientific","yes","FALSE","en","NA","NA",,,,,,
"40","e8a0f34a-ab19-4b2c-a58e-914cceb4312d","PDDEZ3","NJKFJ6",690,"m","2024-01-25 16:27:18","TRUE","FALSE","Eligible","NA",0,"scientific","yes","FALSE","en ml","NA","NA",,,,,,
"41","a2b16e10-f767-4118-8f66-c91f49adae25","PSX2V7","UDCJV6",600,"f","2024-01-25 16:40:15","TRUE","FALSE","Eligible","NA",0,"public","yes","FALSE","en","NA","NA",,,,,,
"42","919a8936-fe24-4344-86ac-cbcd8056c817","JGNBK7","XYHR5A",630,"m","2024-01-25 18:56:30","TRUE","FALSE","Eligible","NA",0,"public","yes","FALSE","en","NA","NA",,,,,,
